timestamp_utc,funding_rate,settlement_hour_utc
2024-09-28 16:00:00,1.414e-05,16
2024-09-29 00:00:00,7.25e-06,0
2024-09-29 08:00:00,3.128e-05,8
2024-09-29 16:00:00,7.253e-05,16
2024-09-30 00:00:00,3.077e-05,0
2024-09-30 08:00:00,7.939e-05,8
2024-09-30 16:00:00,0.0001,16
2024-10-01 00:00:00,0.0001,0
2024-10-01 08:00:00,0.0001,8
2024-10-01 16:00:00,0.0001,16
2024-10-02 00:00:00,6.632e-05,0
2024-10-02 08:00:00,8.409e-05,8
2024-10-02 16:00:00,8.191e-05,16
2024-10-03 00:00:00,4.381e-05,0
2024-10-03 08:00:00,3.746e-05,8
2024-10-03 16:00:00,4.99e-05,16
2024-10-04 00:00:00,7.097e-05,0
2024-10-04 08:00:00,2.119e-05,8
2024-10-04 16:00:00,2.43e-06,16
2024-10-05 00:00:00,-1.596e-05,0
2024-10-05 08:00:00,1.088e-05,8
2024-10-05 16:00:00,8.61e-06,16
2024-10-06 00:00:00,5.72e-06,0
2024-10-06 08:00:00,3.288e-05,8
2024-10-06 16:00:00,4.18e-05,16
2024-10-07 00:00:00,4.573e-05,0
2024-10-07 08:00:00,-9.52e-06,8
2024-10-07 16:00:00,2.177e-05,16
2024-10-08 00:00:00,-1.678e-05,0
2024-10-08 08:00:00,7.094e-05,8
2024-10-08 16:00:00,8.1e-05,16
2024-10-09 00:00:00,0.0001,0
2024-10-09 08:00:00,5.138e-05,8
2024-10-09 16:00:00,7.939e-05,16
2024-10-10 00:00:00,2.09e-05,0
2024-10-10 08:00:00,1.532e-05,8
2024-10-10 16:00:00,0.0001,16
2024-10-11 00:00:00,2.231e-05,0
2024-10-11 08:00:00,-1.874e-05,8
2024-10-11 16:00:00,1.2e-06,16
2024-10-12 00:00:00,4.558e-05,0
2024-10-12 08:00:00,7.664e-05,8
2024-10-12 16:00:00,-1.489e-05,16
2024-10-13 00:00:00,6.93e-06,0
2024-10-13 08:00:00,1.638e-05,8
2024-10-13 16:00:00,3.938e-05,16
2024-10-14 00:00:00,5.429e-05,0
2024-10-14 08:00:00,0.0001,8
2024-10-14 16:00:00,0.0001,16
2024-10-15 00:00:00,0.0001,0
2024-10-15 08:00:00,0.0001,8
2024-10-15 16:00:00,0.0001,16
2024-10-16 00:00:00,8.325e-05,0
2024-10-16 08:00:00,8.5e-05,8
2024-10-16 16:00:00,0.0001,16
2024-10-17 00:00:00,0.0001,0
2024-10-17 08:00:00,0.0001,8
2024-10-17 16:00:00,0.0001,16
2024-10-18 00:00:00,0.0001,0
2024-10-18 08:00:00,0.0001,8
